spatial_group,total_sources,industrial_sources,industrial_percent,has_industrial,fold
16_153,2,0,0.0,False,train
16_154,61,0,0.0,False,train
16_155,36,0,0.0,False,train
16_156,4,0,0.0,False,train
17_153,6,0,0.0,False,train
17_154,30,0,0.0,False,train
17_155,113,0,0.0,False,train
17_156,73,0,0.0,False,train
18_152,23,0,0.0,False,train
18_153,50,0,0.0,False,train
18_154,51,2,3.9215686274509802,True,test
18_155,238,0,0.0,False,train
18_156,120,0,0.0,False,train
18_157,1,0,0.0,False,train
19_152,31,0,0.0,False,train
19_153,101,0,0.0,False,validation
19_154,114,0,0.0,False,train
19_155,269,2,0.7434944237918215,True,train
19_156,192,0,0.0,False,train
19_157,24,0,0.0,False,train
20_152,9,0,0.0,False,train
20_153,40,0,0.0,False,train
20_154,186,18,9.67741935483871,True,train
20_155,209,0,0.0,False,test
20_156,62,0,0.0,False,train
20_157,64,0,0.0,False,train
21_151,6,0,0.0,False,train
21_152,67,0,0.0,False,train
21_153,66,0,0.0,False,train
21_154,33,1,3.0303030303030303,True,test
21_155,58,0,0.0,False,validation
21_156,54,0,0.0,False,test
21_157,144,0,0.0,False,test
21_158,28,0,0.0,False,train
22_151,6,0,0.0,False,train
22_152,66,1,1.5151515151515151,True,train
22_153,161,13,8.074534161490684,True,train
22_154,90,0,0.0,False,train
22_155,131,0,0.0,False,train
22_156,126,1,0.7936507936507936,True,train
22_157,237,5,2.109704641350211,True,train
22_158,177,0,0.0,False,train
23_151,12,0,0.0,False,train
23_152,38,0,0.0,False,test
23_153,83,1,1.2048192771084338,True,validation
23_154,65,0,0.0,False,train
23_155,58,0,0.0,False,train
23_156,78,1,1.282051282051282,True,train
23_157,125,2,1.6,True,test
23_158,193,0,0.0,False,test
23_159,16,0,0.0,False,train
24_150,6,0,0.0,False,validation
24_151,25,0,0.0,False,train
24_152,58,0,0.0,False,train
24_153,156,0,0.0,False,validation
24_154,168,1,0.5952380952380952,True,train
24_155,123,8,6.504065040650407,True,validation
24_156,36,0,0.0,False,train
24_157,169,0,0.0,False,validation
24_158,153,0,0.0,False,train
24_159,66,0,0.0,False,train
25_149,2,0,0.0,False,train
25_150,19,0,0.0,False,train
25_151,95,1,1.0526315789473684,True,test
25_152,109,0,0.0,False,train
25_153,269,0,0.0,False,test
25_154,332,0,0.0,False,train
25_155,333,1,0.3003003003003003,True,test
25_156,245,0,0.0,False,train
25_157,322,0,0.0,False,train
25_158,268,0,0.0,False,test
25_159,244,1,0.4098360655737705,True,train
25_160,4,0,0.0,False,train
26_149,7,0,0.0,False,train
26_150,45,0,0.0,False,train
26_151,102,0,0.0,False,train
26_152,151,1,0.6622516556291391,True,test
26_153,169,0,0.0,False,train
26_154,359,1,0.2785515320334262,True,validation
26_155,312,0,0.0,False,train
26_156,346,0,0.0,False,train
26_157,378,2,0.5291005291005291,True,validation
26_158,426,1,0.2347417840375587,True,train
26_159,250,0,0.0,False,test
26_160,56,0,0.0,False,train
27_149,15,0,0.0,False,train
27_150,22,0,0.0,False,test
27_151,189,2,1.0582010582010581,True,train
27_152,160,0,0.0,False,train
27_153,211,0,0.0,False,train
27_154,177,0,0.0,False,train
27_155,353,0,0.0,False,train
27_156,339,0,0.0,False,train
27_157,335,0,0.0,False,train
27_158,287,2,0.6968641114982579,True,train
27_159,211,1,0.47393364928909953,True,train
27_160,27,0,0.0,False,train
28_148,1,0,0.0,False,train
28_149,22,0,0.0,False,train
28_150,159,1,0.628930817610063,True,test
28_151,171,0,0.0,False,test
28_152,167,0,0.0,False,test
28_153,105,0,0.0,False,train
28_154,134,0,0.0,False,train
28_155,297,2,0.6734006734006733,True,train
28_156,343,0,0.0,False,train
